Epoch: (194), Loss : 5.173880004882813 , acc: 62.22656250000001%
Epoch: (195), Loss : 4.181537628173828 , acc: 74.90234375%
Epoch: (196), Loss : 5.257226382984834 , acc: 60.62155330882353%
Epoch: (197), Loss : 4.671739896138509 , acc: 68.00130208333333%
Epoch: (198), Loss : 4.306575775146484 , acc: 73.0712890625%
Epoch: (199), Loss : 4.9149169921875 , acc: 65.12586805555556%
Epoch: (200), Loss : 4.886578030056423 , acc: 65.61414930555556%
Epoch: (201), Loss : 3.898265838623047 , acc: 87.01171875%
Epoch: (202), Loss : 5.187928880964007 , acc: 62.03264508928572%
Epoch: (203), Loss : 4.195732116699219 , acc: 73.56770833333333%
Epoch: (204), Loss : 4.267023086547852 , acc: 72.4365234375%
Epoch: (205), Loss : 4.903510570526123 , acc: 64.88037109375%
Epoch: (206), Loss : 5.297955232508042 , acc: 59.564568014705884%
Epoch: (207), Loss : 5.063052177429199 , acc: 63.96484375%
Epoch: (208), Loss : 3.391120433807373 , acc: 79.39453125%
Epoch: (209), Loss : 5.281502974660773 , acc: 59.930098684210535%
Epoch: (210), Loss : 4.566461563110352 , acc: 68.83138020833333%
Epoch: (211), Loss : 5.239632076687283 , acc: 60.720486111111114%
Epoch: (212), Loss : 3.0384950637817383 , acc: 96.875%
Epoch: (213), Loss : 3.837010701497396 , acc: 76.92057291666666%
Epoch: (214), Loss : 5.173842366536459 , acc: 61.217447916666664%
Epoch: (215), Loss : 5.2281689114040795 , acc: 60.92122395833333%
Epoch: (216), Loss : 4.905748748779297 , acc: 65.302734375%
Epoch: (217), Loss : 4.991742914373225 , acc: 63.78728693181819%
Epoch: (218), Loss : 3.5707098642985025 , acc: 77.99479166666666%
Epoch: (219), Loss : 4.9694297096946025 , acc: 64.19566761363636%
Epoch: (220), Loss : 5.104758126395089 , acc: 62.71623883928572%
Epoch: (221), Loss : 3.5253238677978516 , acc: 78.41796875%
Epoch: (222), Loss : 1.9931116104125977 , acc: 99.51171875%
Epoch: (223), Loss : 4.335586166381836 , acc: 70.859375%
Epoch: (224), Loss : 5.075826009114583 , acc: 62.99641927083333%
Epoch: (225), Loss : 5.157421112060547 , acc: 61.785888671875%
Epoch: (226), Loss : 4.544956752232143 , acc: 69.60100446428572%
Epoch: (227), Loss : 4.958477020263672 , acc: 64.16903409090908%
Epoch: (228), Loss : 4.773472256130642 , acc: 66.48220486111111%
Epoch: (229), Loss : 2.725839614868164 , acc: 84.1796875%
Epoch: (230), Loss : 5.359403991699219 , acc: 58.583984375%
Epoch: (231), Loss : 2.333864212036133 , acc: 88.525390625%
Epoch: (232), Loss : 4.16120719909668 , acc: 73.80859375%
Epoch: (233), Loss : 5.152883911132813 , acc: 61.65364583333333%
Epoch: (234), Loss : 5.150397300720215 , acc: 62.04833984375%
Epoch: (235), Loss : 3.7637157440185547 , acc: 77.099609375%
Epoch: (236), Loss : 4.192527770996094 , acc: 73.06640625%
Epoch: (237), Loss : 4.771756490071614 , acc: 66.56901041666667%
Epoch: (238), Loss : 3.739436149597168 , acc: 76.513671875%
Epoch: (239), Loss : 4.468052727835519 , acc: 69.30803571428572%
Epoch: (240), Loss : 4.050263595581055 , acc: 73.9453125%
Epoch: (241), Loss : 2.0884456634521484 , acc: 90.966796875%
Epoch: (242), Loss : 5.258804866245815 , acc: 60.15625%
Epoch: (243), Loss : 4.4536734989711215 , acc: 70.13113839285714%
Epoch: (244), Loss : 3.9491085052490233 , acc: 74.4921875%
Epoch: (245), Loss : 2.885105768839518 , acc: 83.36588541666666%
Epoch: (246), Loss : 5.204280180089614 , acc: 60.76516544117647%
Epoch: (247), Loss : 4.894896767356179 , acc: 64.48863636363636%
Epoch: (248), Loss : 3.5330309867858887 , acc: 78.3935546875%
Epoch: (249), Loss : 5.232105255126953 , acc: 60.2197265625%
Epoch: (250), Loss : 4.163430531819661 , acc: 72.91666666666667%
Epoch: (251), Loss : 4.916745821634929 , acc: 63.95670572916667%
Epoch: (252), Loss : 2.8143946329752603 , acc: 84.50520833333334%
Epoch: (253), Loss : 4.733585357666016 , acc: 66.318359375%
Epoch: (254), Loss : 4.5018534660339355 , acc: 69.00634765625%
Epoch: (255), Loss : 5.184739363820929 , acc: 60.68564967105263%
Epoch: (256), Loss : 1.2716025114059448 , acc: 99.0234375%
Epoch: (257), Loss : 5.028503926595052 , acc: 62.805989583333336%
Epoch: (258), Loss : 1.617501974105835 , acc: 93.310546875%
Epoch: (259), Loss : 4.8502858479817705 , acc: 65.19368489583333%
Epoch: (260), Loss : 3.7395668029785156 , acc: 76.54296875%
Epoch: (261), Loss : 4.868441263834636 , acc: 65.19368489583333%
